"vaccine","demo_group","demo_category","indicator_group","indicator_category","estimate","lower_ci","upper_ci","sample_size","month_label","start_survey","end_survey","dashboard_type","suppression_flag"
"Flu","Age","50-64 years","Side effects","Concerned about possible serious or unknown side effects",13.198,10.91315244,15.87594264,1073,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","50-64 years","Social processes","No provider recommendation",7.5565,5.858601726,9.695882837,1073,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","50-64 years","Other","Other",1.0705,0.607367397,1.880178564,1073,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","50-64 years","No concerns or issues","No concerns or issues",48.5449,44.89189859,52.2135563,1073,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","60-74 years with high risk condition(s)","Thinking and feeling","Effectiveness",1.0769,0.488544495,2.357063,542,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","60-74 years with high risk condition(s)","Thinking and feeling","Have enough immunity",1.5669,0.819255342,2.976463599,542,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","60-74 years with high risk condition(s)","Other","Other",0.4896,0.152580994,1.559641334,542,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","60-74 years with high risk condition(s)","Practical issues","Cost",1.9485,0.805825353,4.635862061,542,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","60-74 years with high risk condition(s)","Practical issues","Not eligible/unsure if eligible",1.5877,0.665637924,3.738834265,542,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","60-74 years with high risk condition(s)","Practical issues","Could not find a vaccine",0.622,0.212452073,1.806852458,542,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","60-74 years with high risk condition(s)","Practical issues","Have not gotten around to it or had time",4.0048,2.350761351,6.742410737,542,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","60-74 years with high risk condition(s)","Side effects","Allergic/other medical reason",0.9304,0.426049969,2.019653032,542,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","60-74 years with high risk condition(s)","Side effects","Got sick from past vaccine or know someone who did",0.2743,0.048757612,1.527221014,542,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","60-74 years with high risk condition(s)","Side effects","Concerned about mild side effects",9.53,7.385081526,12.21569804,542,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","60-74 years with high risk condition(s)","Side effects","Concerned about possible serious or unknown side effects",18.4372,15.18624633,22.20197465,542,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","60-74 years with high risk condition(s)","Thinking and feeling","Vaccine fatigue",6.8203,4.442371504,10.3334356,542,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","60-74 years with high risk condition(s)","Thinking and feeling","Do not trust government",12.3038,9.286123995,16.12786634,542,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","60-74 years with high risk condition(s)","Thinking and feeling","Do not know enough about RSV or the vaccine",22.533,18.55042998,27.08615277,542,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","60-74 years with high risk condition(s)","Thinking and feeling","Not concerned about getting sick",15.4169,12.10141431,19.43991289,542,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","60-74 years with high risk condition(s)","Thinking and feeling","Did not want to get with another vaccine",2.5798,1.406141205,4.686450079,542,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","60-74 years with high risk condition(s)","Thinking and feeling","Do not trust pharmaceutical companies",11.6665,8.912722672,15.12987989,542,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","60-74 years with high risk condition(s)","Thinking and feeling","Vaccine is too new",11.7206,8.509671996,15.93207095,542,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","60-74 years with high risk condition(s)","Social processes","No provider recommendation",21.9949,18.30354381,26.19206461,542,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","60-74 years with high risk condition(s)","No concerns or issues","No concerns or issues",46.1758,40.99364024,51.44202837,542,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","65+ years","Side effects","Concerned about possible serious or unknown side effects",27.0502,24.0214998,30.30835495,1042,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","65+ years","Thinking and feeling","Effectiveness",11.5355,9.517483171,13.91568851,1042,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","65+ years","Thinking and feeling","Have enough immunity",11.2069,9.10735448,13.71750776,1042,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","65+ years","Thinking and feeling","Vaccine fatigue",9.809,7.869838924,12.16300036,1042,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","65+ years","Thinking and feeling","Do not trust government",17.7652,15.15673818,20.71300789,1042,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","65+ years","Thinking and feeling","Not concerned about getting sick",19.4171,16.74593967,22.39968667,1042,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","65+ years","Practical issues","Cost",1.7726,0.813012676,3.82127069,1042,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","65+ years","Practical issues","Not eligible/unsure if eligible",1.2821,0.562860627,2.893567594,1042,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","65+ years","Practical issues","Could not find a vaccine",0.3859,0.129290177,1.14585663,1042,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","65+ years","Practical issues","Have not gotten around to it or had time",3.4344,2.391723133,4.90872433,1042,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","65+ years","Side effects","Allergic/other medical reason",1.1402,0.41607754,3.085258515,1042,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","65+ years","Side effects","Got sick from past vaccine or know someone who did",6.7246,5.077327551,8.856411393,1042,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","65+ years","Side effects","Concerned about mild side effects",15.0757,12.77580765,17.70558584,1042,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","65+ years","Thinking and feeling","Did not want to get with another vaccine",5.1544,3.839785711,6.886731348,1042,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","65+ years","Thinking and feeling","Do not trust pharmaceutical companies",13.9991,11.75378573,16.59265335,1042,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","65+ years","Thinking and feeling","Vaccine is too new",11.1119,9.139691616,13.44668116,1042,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","65+ years","Social processes","No provider recommendation",19.5218,16.85509602,22.49633346,1042,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","65+ years","Other","Other",1.2081,0.575801717,2.517222129,1042,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Age","65+ years","No concerns or issues","No concerns or issues",39.3201,35.80129237,42.9532774,1042,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","65+ years","Side effects","Concerned about mild side effects",9.8443,8.065902271,11.96369513,1039,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","65+ years","Side effects","Concerned about possible serious or unknown side effects",12.094,9.963634414,14.60588034,1039,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","65+ years","Practical issues","Cost",0.6382,0.192080866,2.098412911,1039,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","65+ years","Practical issues","Not eligible/unsure if eligible",0.2247,0.065197428,0.771185408,1039,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","65+ years","Practical issues","Could not find a vaccine",0.0907,0.027303852,0.300898752,1039,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","65+ years","Practical issues","Have not gotten around to it or had time",4.8175,3.565791535,6.479084637,1039,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","65+ years","Side effects","Allergic/other medical reason",1.3209,0.743748162,2.335341782,1039,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","65+ years","Side effects","Got sick from past vaccine or know someone who did",4.2468,2.994901993,5.98965785,1039,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","65+ years","Thinking and feeling","Effectiveness",5.8563,4.345547823,7.849248815,1039,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","65+ years","Thinking and feeling","Have enough immunity",3.6203,2.449040552,5.321257555,1039,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","65+ years","Thinking and feeling","Vaccine fatigue",4.5455,3.277424903,6.272502481,1039,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","65+ years","Thinking and feeling","Do not trust government",10.502,8.489551538,12.92403166,1039,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","65+ years","Thinking and feeling","Not concerned about getting sick",14.5105,11.93863903,17.5261383,1039,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","65+ years","Thinking and feeling","Did not want to get with another vaccine",1.9241,1.205655068,3.057358646,1039,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","65+ years","Thinking and feeling","Do not trust pharmaceutical companies",11.0052,8.921978386,13.50265504,1039,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","65+ years","Social processes","No provider recommendation",9.6554,7.752813346,11.96427754,1039,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","65+ years","Other","Other",0.7117,0.308973356,1.630738494,1039,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"Flu","Age","65+ years","No concerns or issues","No concerns or issues",58.9263,55.35861975,62.40257324,1039,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","75+ years","Practical issues","Could not find a vaccine",0,NA,NA,376,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","75+ years","Practical issues","Have not gotten around to it or had time",4.482,2.486981265,7.946964021,376,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","75+ years","Thinking and feeling","Vaccine fatigue",6.3251,4.277601085,9.257903975,376,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","75+ years","Practical issues","Cost",1.5195,0.377924838,5.904734039,376,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","75+ years","Practical issues","Not eligible/unsure if eligible",0.9046,0.25091031,3.206603395,376,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","75+ years","Thinking and feeling","Effectiveness",0.7383,0.224419387,2.400842477,376,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","75+ years","Thinking and feeling","Have enough immunity",1.3574,0.582840193,3.128703039,376,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","75+ years","Side effects","Allergic/other medical reason",0.2335,0.032555477,1.654481267,376,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","75+ years","Side effects","Got sick from past vaccine or know someone who did",0.1742,0.024109088,1.246836343,376,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","75+ years","Side effects","Concerned about mild side effects",8.4881,5.490518451,12.8990024,376,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","75+ years","Side effects","Concerned about possible serious or unknown side effects",13.1819,9.679171023,17.70375948,376,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","75+ years","Thinking and feeling","Do not trust government",11.0576,7.795157829,15.45661967,376,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","75+ years","Thinking and feeling","Do not know enough about RSV or the vaccine",20.4646,16.05908906,25.70860308,376,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","75+ years","Thinking and feeling","Not concerned about getting sick",11.4613,8.163279697,15.86170159,376,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","75+ years","Thinking and feeling","Did not want to get with another vaccine",4.7321,2.683912742,8.21157228,376,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","75+ years","Thinking and feeling","Do not trust pharmaceutical companies",10.7044,7.514667854,15.02805554,376,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","75+ years","Thinking and feeling","Vaccine is too new",12.5942,8.865238345,17.58886806,376,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","75+ years","Social processes","No provider recommendation",23.565,18.63975006,29.32268295,376,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","75+ years","Other","Other",0.3151,0.066196599,1.486364407,376,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"RSV","Age","75+ years","No concerns or issues","No concerns or issues",52.3235,45.96043248,58.61194565,376,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Insurance status","Insured","Practical issues","Not eligible/unsure if eligible",1.6252,1.196753914,2.203640383,3627,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Insurance status","Insured","Practical issues","Could not find a vaccine",0.846,0.594673833,1.20219819,3627,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Insurance status","Insured","Practical issues","Have not gotten around to it or had time",6.3243,5.435413867,7.347321201,3627,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Insurance status","Insured","Side effects","Allergic/other medical reason",2.0974,1.532540774,2.864420166,3627,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Insurance status","Insured","Practical issues","Cost",1.8992,1.38378341,2.60154564,3627,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Insurance status","Insured","Side effects","Got sick from past vaccine or know someone who did",9.7484,8.600635834,11.03089493,3627,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
"COVID-19","Insurance status","Insured","Side effects","Concerned about mild side effects",18.9002,17.32390974,20.58424714,3627,"August 2024/September 2024",2024-08-08,2024-08-26,"concerns/issues",0
